id,客户名,产品,数量,交期,当前环节,状态
ORD-001,深圳精密五金,CNC铝合金外壳,500,2026-07-05,表面处理,生产中
ORD-002,东莞模具厂,316L不锈钢零件,200,2026-07-03,CNC加工,生产中
ORD-003,广州医疗器械,钛合金植入物,50,2026-07-02,质检,生产中
ORD-004,深圳精密五金,铝合金散热片,1000,2026-07-10,备料,待排产
ORD-005,佛山汽车配件,模具钢连杆,300,2026-07-04,热处理,生产中
ORD-006,东莞模具厂,P20模具钢镶件,80,2026-07-01,质检,即将超期
ORD-007,广州医疗器械,钴铬合金支架,150,2026-07-08,CNC加工,生产中
ORD-008,深圳精密五金,铜合金导电片,800,2026-07-06,备料,待排产
ORD-009,佛山汽车配件,铝合金变速箱壳,120,2026-07-03,表面处理,生产中
ORD-010,广州医疗器械,钛合金骨板,60,2026-07-07,CNC加工,生产中
ORD-011,东莞模具厂,SKD61热作模具钢,45,2026-07-09,备料,待排产
ORD-012,深圳精密五金,不锈钢316L法兰,400,2026-07-05,焊接,生产中
ORD-013,佛山汽车配件,6061铝合金支架,250,2026-07-11,备料,待排产
ORD-014,广州医疗器械,聚醚醚酮PEEK植入物,30,2026-07-02,包装,生产中
ORD-015,东莞模具厂,S136镜面模具钢,25,2026-07-12,备料,待排产
ORD-016,深圳精密五金,钛合金航空支架,100,2026-07-05,CNC加工,生产中
ORD-017,佛山汽车配件,球墨铸铁壳体,180,2026-07-04,热处理,生产中
ORD-018,广州医疗器械,钴铬钼合金关节,40,2026-07-06,表面处理,生产中
ORD-019,东莞模具厂,NAK80预硬模具钢,35,2026-07-13,备料,待排产
ORD-020,深圳精密五金,铝合金腔体滤波器,600,2026-07-07,焊接,生产中
ORD-021,佛山汽车配件,42CrMo齿轮轴,500,2026-07-08,CNC加工,生产中
ORD-022,广州医疗器械,钛网颅骨修复板,20,2026-07-03,质检,生产中
ORD-023,东莞模具厂,8407热作模具钢,55,2026-07-14,备料,待排产
ORD-024,深圳精密五金,铜钨合金电极,300,2026-07-09,备料,待排产
ORD-025,佛山汽车配件,20CrMnTi齿轮,400,2026-07-06,CNC加工,生产中
ORD-026,广州医疗器械,镍钛合金血管支架,200,2026-07-10,表面处理,生产中
ORD-027,东莞模具厂,DC53冷作模具钢,70,2026-07-05,质检,生产中
ORD-028,深圳精密五金,铝合金5G基站壳体,350,2026-07-08,焊接,生产中
ORD-029,佛山汽车配件,QT600-3制动盘,220,2026-07-07,热处理,生产中
ORD-030,广州医疗器械,316LVM不锈钢骨钉,1000,2026-07-11,备料,待排产
